Product-id,Seller-id,Product-SKU,Product-Title,Product-Brand,URL,img_URL,Regular-Price,Final-Price,TIKI-NOW,Installment,Page,Location
56740673,56740674,9162710934431,Combo Sữa rửa mặt dành cho da mụn Senka Perfect Whip Acne Care 100g + Nước tẩy trang Senka All Clear White 70ml,Senka,https://tiki.vn//combo-sua-rua-mat-danh-cho-da-mun-senka-perfect-whip-acne-care-100g-nuoc-tay-trang-senka-all-clear-white-70ml-p56740673.html?src=category-page-1520.1582&2hi=0,https://salt.tikicdn.com/cache/280x280/ts/product/c1/c6/11/60f3c3ff2cd5729b08434fb6a44b496b.jpg,97.000đ                                            -43%,97.000đ                                            -43%,YES,,5,21
491314,205354,1334860226362,Bông Tẩy Trang Jomi 120 Miếng/Túi ,Jomi,https://tiki.vn//bong-tay-trang-jomi-120-mieng-tui-p491314.html?src=category-page-1520.1582&2hi=0,https://salt.tikicdn.com/cache/280x280/media/catalog/product/b/o/bong tay trang 120.u2409.d20160421.t102508.jpg,29.000đ                                            -17%,29.000đ                                            -17%,YES,,5,22
44048193,59499537,2611882844057,MiungLab - Mặt Nạ Dưỡng Da Hàn Quốc (Mix 2 Màu Nạ),Lány Beau,https://tiki.vn//miung-lab-mat-na-duong-da-han-quoc-mix-2-mau-na-p44048193.html?src=category-page-1520.1582&2hi=0,https://salt.tikicdn.com/cache/280x280/ts/product/68/16/9b/10f43a3b6796d74c3c1a0205977df95d.jpg,299.000đ                                            -15%,299.000đ                                            -15%,YES,,5,23
25108019,25108020,7588549571715,Gel ngừa mụn kháng khuẩn Acnes Sealing Jell (18g),Acnes,https://tiki.vn//gel-ngua-mun-khang-khuan-acnes-sealing-jell-18g-p25108019.html?src=category-page-1520.1582&2hi=0,https://salt.tikicdn.com/cache/280x280/ts/product/dc/91/d1/130c37b625e7a84435d72a3419435a5a.jpg,58.000đ,58.000đ,YES,,5,24
401941,103962,1334255704963,"Combo 4 Sản Phẩm Vedette Dưỡng Da, Ngừa Mụn Tinh Chất Tràm Trà",Vedette,https://tiki.vn//combo-4-san-pham-vedette-duong-da-ngua-mun-tinh-chat-tram-tra-p401941.html?src=category-page-1520.1582&2hi=0,https://salt.tikicdn.com/cache/280x280/ts/product/55/cf/09/61a4ccbb52f3a86ae7b45506905667f5.jpg,157.500đ,157.500đ,YES,,5,25
21583573,22436482,2243133542322,Kem Chống Nắng Kiềm Dầu Nâng Tone Dưỡng Da Dabo Tone Up Base Sun Cream SPF 50 PA +++(70ml) - Hàng Chính Hãng ,Dabo,https://tiki.vn//kem-chong-nang-kiem-dau-nang-tone-duong-da-dabo-tone-up-base-sun-cream-spf-50-pa-70ml-hang-chinh-hang-p21583573.html?src=category-page-1520.1582&2hi=0,https://salt.tikicdn.com/cache/280x280/ts/product/14/c8/29/ced96db0711963f97a597cd3968b07c9.jpg,98.000đ                                            -48%,98.000đ                                            -48%,YES,,5,26
53470136,53470137,5817055479348,Mặt Nạ Gạo Trong Suốt M.O.I RICE HYDROGEL MASKS (3 Miếng/Hộp) Hồ Ngọc Hà,M.O.I,https://tiki.vn//mat-na-trong-suot-m-o-i-rice-hydrogel-masks-3-mieng-hop-p53470136.html?src=category-page-1520.1582&2hi=0,https://salt.tikicdn.com/cache/280x280/ts/product/59/e0/d9/a93ef205963601277d069474c2310a42.jpg,168.000đ                                            -44%,168.000đ                                            -44%,YES,,5,27
451561,158838,1338995192073,Bột Cám Gạo Nguyên Chất Milaganics (100g),Milaganics,https://tiki.vn//bot-cam-gao-nguyen-chat-milaganics-100g-p451561.html?src=category-page-1520.1582&2hi=0,https://salt.tikicdn.com/cache/280x280/media/catalog/product/1/6/164702-2-bich-cam-gao-nguyen-chat-milganics-0-body_2_.u499.d20160722.t113844.jpg,12.000đ                                            -52%,12.000đ                                            -52%,YES,,5,28
54029150,54029151,6235516791232,Bộ dưỡng chất giúp cải thiện và làm sáng da La Roche Posay Pure Vitamin C10 Serum,La Roche-Posay,https://tiki.vn//bo-duong-chat-giup-cai-thien-va-lam-sang-da-la-roche-posay-pure-vitamin-c10-serum-p54029150.html?src=category-page-1520.1582&2hi=0,https://salt.tikicdn.com/cache/280x280/ts/product/42/86/7a/c5c53078c624847282ba9c04e329611e.jpg,969.000đ                                            -30%,969.000đ                                            -30%,YES,,5,29
58127873,58127874,1461761686664,Mặt Nạ Ngủ Cung Cấp Nước Tức Thì Vichy Aqualia Masque Nuit - 100690954 (15ml),Vichy,https://tiki.vn//mat-na-ngu-cung-cap-nuoc-tuc-thi-vichy-aqualia-masque-nuit-100690954-15ml-p58127873.html?src=category-page-1520.1582&2hi=0,https://salt.tikicdn.com/cache/280x280/ts/product/9e/63/c3/f994bbade3f085d12f4258963adf2105.jpg,240.000đ,240.000đ,YES,,5,30
53923837,53923838,2299245881156,Tinh chất dưỡng the Ordinary Hyaluronic Acid 2 % + B5,The Ordinary,https://tiki.vn//tinh-chat-duong-the-ordinary-hyaluronic-acid-2-b5-p53923837.html?src=category-page-1520.1582&2hi=0,https://salt.tikicdn.com/cache/280x280/ts/product/85/08/58/e13b2286667be9cc470f9e3900d7f939.png,299.000đ                                            -9%,299.000đ                                            -9%,YES,,5,31
