Product-id,Seller-id,Product-SKU,Product-Title,Product-Brand,Author,URL,img_URL,Regular-Price,Final-Price,Comment,TIKI-NOW,Rating,Installment,Page,Location
58929157,64381173,7767445714901,Gối cao su non Muji (Giao mầu ngẫu nhiên),OEM,,https://tiki.vn/goi-cao-su-non-muji-giao-mau-ngau-nhien-p58929157.html?src=category-page-1883.8313&2hi=0,https://salt.tikicdn.com/cache/280x280/ts/product/34/96/35/75701bc346b11717c98ce9b3d7d3da28.jpg,250.000đ,132.000đ                                            -47%,4 nhận xét,YES,90%,,11,15
11653845,35906580,6443208401134,Ruột Gối Everon Ultra Micro,Everon,,https://tiki.vn/ruot-goi-everon-ultra-micro-p11653845.html?src=category-page-1883.8313&2hi=0,https://salt.tikicdn.com/cache/280x280/ts/product/d6/93/0c/2b91134570e55abd59a9c876de51779e.jpg,370.000đ,370.000đ,10 nhận xét,YES,98%,,11,16
53295367,58149071,9588799787315,Combo chiếu ngủ 1m8 x 1m và tấm che mắt gấu ngủ cho dân văn phòng,OEM,,https://tiki.vn/combo-chieu-ngu-1m8-x-1m-va-tam-che-mat-gau-ngu-cho-dan-van-phong-p53295367.html?src=category-page-1883.8313&2hi=0,https://salt.tikicdn.com/cache/280x280/ts/product/33/0d/b0/42994cf00998b4ea18a7b2f4c7960788.png,65.000đ,53.000đ                                            -18%,4 nhận xét,YES,86%,,11,17
16116313,16116315,7680932493298,Bộ gối tựa sofa hoa tròn 45*45cm,OEM,,https://tiki.vn/bo-goi-tua-sofa-hoa-tron-45-45cm-p16116313.html?src=category-page-1883.8313&2hi=0,https://salt.tikicdn.com/cache/280x280/ts/product/d4/ce/a8/f0d2a828192920b5ac7736c16e3ae794.jpg,160.000đ,119.000đ                                            -26%,4 nhận xét,YES,100%,,11,18
24170033,24170034,2071609356339,Gối Ôm Cao Su Bolster Vạn Thành (20 X 100 cm),Vạn Thành,,https://tiki.vn/goi-om-cao-su-bolster-van-thanh-20-x-100-cm-p24170033.html?src=category-page-1883.8313&2hi=0,https://salt.tikicdn.com/cache/280x280/ts/product/09/fe/91/134fcfd15c590746d0ab60a9aa8d229b.jpg,970.000đ,655.000đ                                            -32%,7 nhận xét,YES,98%,,11,19
31248347,67855214,2399261856654,Nệm Lò Xo Liên Á CASSARO PLUSH,Liên Á,,https://tiki.vn/nem-lo-xo-lien-a-cassaro-plush-p31248347.html?src=category-page-1883.8313&2hi=0,https://salt.tikicdn.com/cache/280x280/ts/product/0d/9c/c2/4cf389349acd5f54fb27c9347bf6d375.jpg,3.990.000đ,3.140.000đ                                            -21%,5 nhận xét,NO,100%,,11,20
54071288,54071295,1111380494934,"Gối cao su non người lớn chống gáy , Đem lại cho bạn cảm giác mềm mại , êm ái, Giúp bạn có giấc ngủ sâu hơn",OEM,,https://tiki.vn/goi-cao-su-non-nguoi-lon-chong-gay-dem-lai-cho-ban-cam-giac-mem-mai-em-ai-giup-ban-co-giac-ngu-sau-hon-p54071288.html?src=category-page-1883.8313&2hi=0,https://salt.tikicdn.com/cache/280x280/ts/product/be/d8/72/201e8f7f0d5d205689f80b178dbaaf32.jpg,500.000đ,116.134đ                                            -77%,3 nhận xét,YES,94%,,11,21
20033756,20033757,3853177069717,Bịt mắt ngủ có túi giải nhiệt làm mát mắt - Mẫu ngẫu nhiên,OEM,,https://tiki.vn/bit-mat-ngu-co-tui-giai-nhiet-lam-mat-mat-mau-ngau-nhien-p20033756.html?src=category-page-1883.8313&2hi=0,https://salt.tikicdn.com/cache/280x280/ts/product/29/e5/f4/3ebffb0c1d5c5dcafb021cce4356137c.JPG,100.000đ,39.999đ                                            -60%,6 nhận xét,YES,88%,,11,22
28435193,28435201,3118619727878,Bộ khung Võng xếp THÁI SƠN ống tròn (chất liệu inox) + Võng lưới,THÁI SƠN,,https://tiki.vn/bo-khung-vong-xep-thai-son-ong-tron-chat-lieu-inox-vong-luoi-p28435193.html?src=category-page-1883.8313&2hi=0,https://salt.tikicdn.com/cache/280x280/ts/product/66/f0/28/e7e46f6c7ed0de77e2bd94187c846c6b.jpg,1.260.000đ,1.098.000đ                                            -13%,16 nhận xét,YES,98%,,11,23
24196833,48313935,9011963107829,Nệm Cao Su Kim Cương 5 Zone Aloe,Kim Cương,,https://tiki.vn/nem-cao-su-kim-cuong-5-zone-aloe-p24196833.html?src=category-page-1883.8313&2hi=0,https://salt.tikicdn.com/cache/280x280/ts/product/d9/1a/5f/7d9884bdc815c49a1345b920c9e3dfae.jpg,6.190.000đ,4.021.000đ                                            -35%,1 nhận xét,NO,60%,,11,24
